SUB_MEASURE_NAME,RULE_NAME,SEQ_NUM,CREATED_BY,CREATE_DATE,UPDATED_BY,UPDATE_DATE
"WWRL FREIGHT INDIRECT","SHIPREV-SHIP-NOWWDIST-NOSCMS-ROLL3-Excl SelSF","1","system",8/12/2018 10:06:38 AM,"system",8/12/2018 10:06:38 AM
"BAD DEBT","SHIP-BE-NOWWDIST-NOCORPADJ-ROLL3","1","system",8/12/2018 10:06:38 AM,"system",8/12/2018 10:06:38 AM
"DIRECT MRAP ASSIGNED FREIGHT_FY07","SHIPREV-SHIP-PL3-NOWWDIST-NOSCMS-ROLL3","1","system",8/12/2018 10:06:38 AM,"system",8/12/2018 10:06:38 AM
"DIRECT MRAP ASSIGNED REPLACEMENT ORDER EXP_FY07","SHIPREV-SHIP-PL3-NOWWDIST-NOSCMS-ROLL3","1","system",8/12/2018 10:06:38 AM,"system",8/12/2018 10:06:38 AM
"INDIRECT FREIGHT < 1K$_FY07","SHIPREV-SHIP-NOWWDIST-NOSCMS-ROLL3","1","system",8/12/2018 10:06:38 AM,"system",8/12/2018 10:06:38 AM
"INDIRECT NON-STD MTL ACQ < 1K$_FY07","SHIPREV-SHIP-NOWWDIST-NOSCMS-ROLL3","1","system",8/12/2018 10:06:38 AM,"system",8/12/2018 10:06:38 AM
"INDIRECT SCRAP_FY07","SHIPREV-SHIP-NOWWDIST-NOSCMS-ROLL3","1","system",8/12/2018 10:06:38 AM,"system",8/12/2018 10:06:38 AM
"INDIRECT SELLBACK < 1K$_FY07","SHIPREV-SHIP-NOWWDIST-NOSCMS-ROLL3","1","system",8/12/2018 10:06:38 AM,"system",8/12/2018 10:06:38 AM
"INDIRECT ROYALTY < 1K$_FY07","SHIPREV-SHIP-NOWWDIST-NOSCMS-ROLL3","1","system",8/12/2018 10:06:38 AM,"system",8/12/2018 10:06:38 AM
"INDIRECT SCRAP < 1K$_FY07","SHIPREV-SHIP-NOWWDIST-NOSCMS-ROLL3","1","system",8/12/2018 10:06:38 AM,"system",8/12/2018 10:06:38 AM
