moduleId,name,period,driverName,salesMatch,productMatch,scmsMatch,legalEntityMatch,beMatch,sl1Select,scmsSelect,beSelect,createdBy,createdDate,updatedBy,updatedDate
1,REVPOS-SL2-NOWWDISTI-NOSCMS-ROLL3,ROLL3,REVPOS,SL2,,,,,NOT IN ( 'WW Distribution' ),"NOT IN ( 'NOT REQUIRED','OTHER','UNKNOWN' )",,amalakar,,,
1,SHIP-SL2-NOWWDIST-MTD,MTD,SHIPMENT,SL2,,,,,NOT IN ( 'WW Distribution' ),,,amalakar,,,
1,SHIPREV-SHIP-PL2-NOWWDIST-NOSCMS-ROLL3,ROLL3,SHIPREV,,,,,,NOT IN ( 'WW Distribution' ),"NOT IN ( 'NOT REQUIRED','OTHER','UNKNOWN' )",,,,moltman,
1,SERVMAP-PL3BE-MTD,MTD,SERVMAP,,PF,,Business Entity,,,,,amalakar,,,
1,VIP-PL3SL2-NOWWDIST-MTD,MTD,VIP,SL2,PF,,,,NOT IN ( 'WW Distribution' ),,,amalakar,,,
1,SHIP-PL3SL6-NOWWDIST-MTD,MTD,SHIPMENT,SL6,PF,,,,NOT IN ( 'WW Distribution' ),,,amalakar,,,
1,SHIP-SL2-NOWWDIST-ROLL3,ROLL3,SHIPMENT,SL2,,,,,NOT IN ( 'WW Distribution' ),,,amalakar,,,
1,SHIP-SL2-NOWWDIST-NOSCMS-ROLL3,ROLL3,SHIPMENT,SL2,,,,,NOT IN ( 'WW Distribution' ),"NOT IN ( 'NOT REQUIRED','OTHER','UNKNOWN' )",,amalakar,,,
1,SHIP-PL3SL3-ROLL3,ROLL3,SHIPMENT,SL3,PF,,,,,,,amalakar,,,
1,SHIP-SL3-NOWWDIST-ROLL3,ROLL3,SHIPMENT,SL3,,,,,NOT IN ( 'WW Distribution' ),,,amalakar,,,
1,SHIP-PL3SL2-NOWWDIST-ROLL3,ROLL3,SHIPMENT,SL2,PF,,,,NOT IN ( 'WW Distribution' ),,,amalakar,,,
